season,race_num,race_name,race_date,driver,car,team,team_group,rank,rank_num,grid,laps,time_retired,pts_rank,pts_pole,pts_bonus,points
6,2,2019 Diriyah race 2,2019-11-23,Mitch Evans,20,Jaguar,Jaguar,18,18,6,30,+1:01.1051,0,0,0,0
3,3,2017 Buenos Aires,2017-02-18,Felix Rosenqvist,19,Mahindra,Mahindra,18,18,8,34,+3 Laps,0,0,1,1
4,7,2018 Rome,2018-04-14,Felix Rosenqvist,19,Mahindra,Mahindra,Ret,18,1,22,Suspension,0,3,0,3
6,3,2020 Santiago,2020-01-18,Jérôme d'Ambrosio,64,Mahindra,Mahindra,NC,18,20,40,+1:57.6243,0,0,0,0
6,11,2020 Berlin race 6,2020-08-13,Jérôme d'Ambrosio,64,Mahindra,Mahindra,18,18,16,36,+30.485,0,0,0,0
1,8,2015 Berlin,2015-05-23,Karun Chandhok,5,Mahindra Racing,Mahindra,18,18,20,33,+52.7032,0,0,0,0
6,8,2020 Berlin race 3,2020-08-08,Nyck de Vries,17,Mercedes,Mercedes,18,18,13,35,+32.5203,0,0,0,0
4,3,2018 Marrakesh,2018-01-13,Oliver Turvey,16,NIO,NIO-NextEV,Ret,18,10,17,Technical,0,0,0,0
4,10,2018 Zürich,2018-06-10,Luca Filippi,68,NIO,NIO-NextEV,Ret,18,19,20,Retired,0,0,0,0
5,9,2019 Monaco,2019-05-11,Oliver Turvey,16,NIO,NIO-NextEV,Ret,18,15,32,Collision,0,0,0,0
5,10,2019 Berlin,2019-05-25,Oliver Turvey,16,NIO,NIO-NextEV,18,18,14,37,+32.117,0,0,0,0
6,4,2020 Mexico City,2020-02-15,Ma Qing Hua,33,NIO,NIO-NextEV,Ret,18,20,25,Accident,0,0,0,0
6,6,2020 Berlin,2020-08-05,Daniel Abt,33,NIO,NIO-NextEV,18,18,21,36,+39.2824,0,0,0,0
6,7,2020 Berlin race 2,2020-08-06,Oliver Turvey,3,NIO,NIO-NextEV,18,18,15,38,+36.356,0,0,0,0
6,9,2020 Berlin race 4,2020-08-09,Daniel Abt,33,NIO,NIO-NextEV,18,18,23,37,+29.121,0,0,0,0
